source_id	source_title	source_year	source_authors	source_type	site_name	LatDD	LonDD	inferred_from	inferred_using	biodiversity_measure	inferred_as	taxon_kingdom	taxon_family	taxon_genus	taxon_species	sample_origin	earliest_extent	latest_extent	proxy_category	variability_temp	variability_precip	max_temp	max_precip	min_temp	min_precip	elevation_change	dist_to_land_ice_max	dist_to_land_ice_min	dating_methods	dating_levels	depth_min	depth_max
itrdb - ak050	Wilmking - Nutirwik Creek - PCGL - ITRDB AK050		Wilmking., M.	Database entry	Nutirwik Creek	67.15	-149.13	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	219	-50	Contemporaneous Whole Organism	0.47083377799999937	11	-8.066666603	274	-8.537500381	263	0	504.6624129	504.6624129	Known collection date			
itrdb - ak051	Wilmking - Nutirwik Creek Floodplain - PCGL - ITRDB AK051		Wilmking., M.	Database entry	Nutirwik Creek Floodplain	67.15	-149.13	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	122	-51	Contemporaneous Whole Organism	0.24583339700000018	8	-8.066666603	274	-8.3125	266	0	504.6624129	504.6624129	Known collection date			
itrdb - ak052	Wilmking - Hunt Fork of John River - PCGL - ITRDB AK052		Wilmking., M.	Database entry	Hunt Fork of John River	67.13	-152.07	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	220	-52	Contemporaneous Whole Organism	0.32500028600000075	11	-5.916666508	296	-6.241666794	285	0	616.4511498	616.4511498	Known collection date			
itrdb - ak053	Joergenson - Sheenjek River - PCGL - ITRDB AK053		Joergenson., J.;Wilmking., M.	Database entry	Sheenjek River	68.08	-143.13	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	235	-50	Contemporaneous Whole Organism	0.20833301600000098	7	-8.225000381	195	-8.433333397	188	0	234.11044	234.11044	Known collection date			
itrdb - ak057	D'Arrigo - Almond Butter Lower - PCGL - ITRDB AK057		D'Arrigo., R.D.;Mashig., E.;Frank., D.C.;Wilson., R.J.S.;Jacoby., G.C.	Database entry	Almond Butter Lower	65.18	-162.2	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	343	-52	Contemporaneous Whole Organism	0.3583331109999994	17	-5.308333397	457	-5.666666508	440	0	386.18567609999997	386.18567609999997	Known collection date			
itrdb - ak058	D'Arrigo - Almond Butter Upper - PCGL - ITRDB AK058		D'Arrigo., R.D.;Mashig., E.;Frank., D.C.;Wilson., R.J.S.;Jacoby., G.C.	Database entry	Almond Butter Upper	65.18	-162.22	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	544	-52	Contemporaneous Whole Organism	0.3958334929999996	21	-5.449999809	458	-5.845833302	437	0	385.2893931	385.2893931	Known collection date			
itrdb - ak059	D'Arrigo - Alpine View - PCGL - ITRDB AK059		D'Arrigo., R.D.;Mashig., E.;Frank., D.C.;Wilson., R.J.S.;Jacoby., G.C.	Database entry	Alpine View	65.12	-162.18	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	408	-52	Contemporaneous Whole Organism	0.38750028599999986	25	-5.220833302	498	-5.608333588	473	0	388.99696120000004	388.99696120000004	Known collection date			
itrdb - ak060	D'Arrigo - Burnt Over - PCGL - ITRDB AK060		D'Arrigo., R.D.;Mashig., E.;Frank., D.C.;Wilson., R.J.S.;Jacoby., G.C.	Database entry	Burnt Over	65.22	-162.25	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	329	-52	Contemporaneous Whole Organism	0.36666631699999996	18	-5.520833492	472	-5.887499809	454	0	382.72207890000004	382.72207890000004	Known collection date			
itrdb - ak061	D'Arrigo - Bye Rosanne - PCGL - ITRDB AK061		D'Arrigo., R.D.;Mashig., E.;Frank., D.C.;Wilson., R.J.S.;Jacoby., G.C.	Database entry	Bye Rosanne	65.08	-162.18	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	375	-52	Contemporaneous Whole Organism	0.3625001910000005	23	-5.258333206	490	-5.620833397	467	0	390.3316335	390.3316335	Known collection date			
itrdb - ak062	D'Arrigo - Death Valley - PCGL - ITRDB AK062		D'Arrigo., R.D.;Mashig., E.;Frank., D.C.;Wilson., R.J.S.;Jacoby., G.C.	Database entry	Death Valley	65.2	-162.27	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	592	-52	Contemporaneous Whole Organism	0.3958334920000004	27	-5.375	434	-5.770833492	407	0	382.4308428	382.4308428	Known collection date			
itrdb - ak063	D'Arrigo - Echo Slope - PCGL - ITRDB AK063		D'Arrigo., R.D.;Mashig., E.;Frank., D.C.;Wilson., R.J.S.;Jacoby., G.C.	Database entry	Echo Slope	65.1	-162.15	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	360	-52	Contemporaneous Whole Organism	0.3583335879999998	23	-5.266666412	491	-5.625	468	0	390.99844260000003	390.99844260000003	Known collection date			
itrdb - ak064	D'Arrigo - Frost Valley - PCGL - ITRDB AK064		D'Arrigo., R.D.;Mashig., E.;Frank., D.C.;Wilson., R.J.S.;Jacoby., G.C.	Database entry	Frost Valley	65.08	-162.15	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	339	-52	Contemporaneous Whole Organism	0.32916641300000027	24	-4.954166889	475	-5.283333302	451	0	391.67025060000003	391.67025060000003	Known collection date			
itrdb - ak065	D'Arrigo - Gordon's Cat - PCGL - ITRDB AK065		D'Arrigo., R.D.;Mashig., E.;Frank., D.C.;Wilson., R.J.S.;Jacoby., G.C.	Database entry	Gordon's Cat	65.2	-162.2	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	550	-52	Contemporaneous Whole Organism	0.3708333969999993	22	-5.208333492	454	-5.579166889	432	0	385.57008179999997	385.57008179999997	Known collection date			
itrdb - ak066	D'Arrigo - Hey Bear - PCGL - ITRDB AK066		D'Arrigo., R.D.;Mashig., E.;Frank., D.C.;Wilson., R.J.S.;Jacoby., G.C.	Database entry	Hey Bear	65.22	-162.22	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	417	-52	Contemporaneous Whole Organism	0.3999996189999999	21	-5.475000381	466	-5.875	445	0	384.06857	384.06857	Known collection date			
itrdb - ak067	D'Arrigo - Hey Bear Upper - PCGL - ITRDB AK067		D'Arrigo., R.D.;Mashig., E.;Frank., D.C.;Wilson., R.J.S.;Jacoby., G.C.	Database entry	Hey Bear Upper	65.22	-162.22	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	567	-52	Contemporaneous Whole Organism	0.3999996189999999	25	-5.475000381	466	-5.875	441	0	384.06857	384.06857	Known collection date			
itrdb - ak068	D'Arrigo - Mt. Mole - PCGL - ITRDB AK068		D'Arrigo., R.D.;Mashig., E.;Frank., D.C.;Wilson., R.J.S.;Jacoby., G.C.	Database entry	Mt. Mole	65.08	-162.18	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	400	-52	Contemporaneous Whole Organism	0.38749980900000036	23	-5.258333206	490	-5.645833015	467	0	390.3316335	390.3316335	Known collection date			
itrdb - ak069	D'Arrigo - Ptarmigan Hill - PCGL - ITRDB AK069		D'Arrigo., R.D.;Mashig., E.;Frank., D.C.;Wilson., R.J.S.;Jacoby., G.C.	Database entry	Ptarmigan Hill	65.07	-162.23	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	232	-52	Contemporaneous Whole Organism	0.25833320699999973	22	-5.150000095	448	-5.408333302	426	0	388.4431747	388.4431747	Known collection date			
itrdb - ak070	D'Arrigo - Windy Ridge Alaska - PCGL - ITRDB AK070		D'Arrigo., R.D.;Mashig., E.;Frank., D.C.;Wilson., R.J.S.;Jacoby., G.C.	Database entry	Windy Ridge Alaska	65.18	-162.22	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	394	-52	Contemporaneous Whole Organism	0.3708333969999993	19	-5.449999809	458	-5.820833206	439	0	385.2893931	385.2893931	Known collection date			
itrdb - ak079	Lloyd - Dalton Highway Mile Post 171 - PCMA - ITRDB AK079		Lloyd., A.H.;Fastie., C.L.	Database entry	Dalton Highway Mile Post 171	67.22	-150.27	Contemporaneous Whole Organism: Picea mariana (Mill.) Britton, Sterns, & Poggenb.	Implicit	PresenceOnly	Picea mariana (Mill.) Britton, Sterns & Poggenb. [Species]	Plantae	Pinaceae	Picea	Picea mariana (Mill.) Britton, Sterns & Poggenb.	Living organism	72	-55	Contemporaneous Whole Organism	0	0	-6.570833206	256	-6.570833206	256	0	543.3307264	543.3307264	Known collection date			
itrdb - ak080	Lloyd - Dalton Highway Mile Post 182 - PCMA - ITRDB AK080		Lloyd., A.H.;Fastie., C.L.	Database entry	Dalton Highway Mile Post 182	67.35	-150.05	Contemporaneous Whole Organism: Picea mariana (Mill.) Britton, Sterns, & Poggenb.	Implicit	PresenceOnly	Picea mariana (Mill.) Britton, Sterns & Poggenb. [Species]	Plantae	Pinaceae	Picea	Picea mariana (Mill.) Britton, Sterns & Poggenb.	Living organism	89	-53	Contemporaneous Whole Organism	0	0	-8.791666985	423	-8.791666985	423	0	528.1572269	528.1572269	Known collection date			
itrdb - ak081	Lloyd - Dalton Highway Mile Post 184 - PCMA - ITRDB AK081		Lloyd., A.H.;Fastie., C.L.	Database entry	Dalton Highway Mile Post 184	67.38	-150.1	Contemporaneous Whole Organism: Picea mariana (Mill.) Britton, Sterns, & Poggenb.	Implicit	PresenceOnly	Picea mariana (Mill.) Britton, Sterns & Poggenb. [Species]	Plantae	Pinaceae	Picea	Picea mariana (Mill.) Britton, Sterns & Poggenb.	Living organism	102	-54	Contemporaneous Whole Organism	0.16250038100000008	10	-7.416666508	268	-7.579166889	258	0	528.5088695000001	528.5088695000001	Known collection date			
itrdb - ak082	Lloyd - Dalton Highway Mile Post 199 - PCMA - ITRDB AK082		Lloyd., A.H.;Fastie., C.L.	Database entry	Dalton Highway Mile Post 199	67.53	-149.85	Contemporaneous Whole Organism: Picea mariana (Mill.) Britton, Sterns, & Poggenb.	Implicit	PresenceOnly	Picea mariana (Mill.) Britton, Sterns & Poggenb. [Species]	Plantae	Pinaceae	Picea	Picea mariana (Mill.) Britton, Sterns & Poggenb.	Living organism	135	-51	Contemporaneous Whole Organism	0.15833330099999987	6	-7.912499905	227	-8.070833206	221	0	511.4874384	511.4874384	Known collection date			
itrdb - ak083	Lloyd - Dalton Highway Mile Post 200 - PCMA - ITRDB AK083		Lloyd., A.H.;Fastie., C.L.	Database entry	Dalton Highway Mile Post 200	67.55	-149.83	Contemporaneous Whole Organism: Picea mariana (Mill.) Britton, Sterns, & Poggenb.	Implicit	PresenceOnly	Picea mariana (Mill.) Britton, Sterns & Poggenb. [Species]	Plantae	Pinaceae	Picea	Picea mariana (Mill.) Britton, Sterns & Poggenb.	Living organism	38	-51	Contemporaneous Whole Organism	0	0	-8.058333397	234	-8.058333397	234	0	509.7502081	509.7502081	Known collection date			
itrdb - ak084	Lloyd - Dalton Highway Mile Post 201 - PCMA - ITRDB AK084		Lloyd., A.H.;Fastie., C.L.	Database entry	Dalton Highway Mile Post 201	67.57	-149.82	Contemporaneous Whole Organism: Picea mariana (Mill.) Britton, Sterns, & Poggenb.	Implicit	PresenceOnly	Picea mariana (Mill.) Britton, Sterns & Poggenb. [Species]	Plantae	Pinaceae	Picea	Picea mariana (Mill.) Britton, Sterns & Poggenb.	Living organism	38	-51	Contemporaneous Whole Organism	0	0	-8.0625	234	-8.0625	234	0	508.40182919999995	508.40182919999995	Known collection date			
itrdb - ak085	Lloyd - Dalton Highway Mile Post 235 - PCGL - ITRDB AK085		Lloyd., A.H.;Fastie., C.L.	Database entry	Dalton Highway Mile Post 235	68.03	-149.68	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	144	-55	Contemporaneous Whole Organism	0.1625003800000009	8	-10.33333302	240	-10.4958334	232	0	480.4690589	480.4690589	Known collection date			
itrdb - ak086	Wiles - Fish Trap - PCGL - ITRDB AK086		Wiles., G.;Driscoll., W.;D'Arrigo., R.D.	Database entry	Fish Trap	60.48	-154.33	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	323	-53	Contemporaneous Whole Organism	0.2791667579999999	22	-0.529166639	520	-0.808333397	498	0	994.4048147	994.4048147	Known collection date			
itrdb - ak087	Wiles - Portage Lake - PCGL - ITRDB AK087		Wiles., G.;Driscoll., W.;D'Arrigo., R.D.	Database entry	Portage Lake	60.5	-153.88	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	278	-53	Contemporaneous Whole Organism	0.2166668180000001	16	-0.912500024	633	-1.129166842	617	0	1011.407193	1011.407193	Known collection date			
itrdb - ak088	Wiles - Middle Telaquana - PCGL - ITRDB AK088		Wiles., G.;Driscoll., W.;D'Arrigo., R.D.	Database entry	Middle Telaquana	60.97	-153.92	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	181	-53	Contemporaneous Whole Organism	0.17916679400000013	9	-1.491666555	491	-1.670833349	482	0	976.131672	976.131672	Known collection date			
itrdb - ak089	Wiles - Lower Twin Lake - PCGL - ITRDB AK089		Wiles., G.;Driscoll., W.;D'Arrigo., R.D.	Database entry	Lower Twin Lake	60.65	-154.02	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	350	-53	Contemporaneous Whole Organism	0.24166667500000005	24	-1.195833325	559	-1.4375	535	0	994.7109951	994.7109951	Known collection date			
itrdb - ak104	Jacoby - Dalton Highway - PCGL - ITRDB AK104		Jacoby., G.C.;Davi., N.K.	Database entry	Dalton Highway	67.9667	-149.7667	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	647	-50	Contemporaneous Whole Organism	0.516667365	12	-9.908332825	240	-10.42500019	228	0	486.67038199999996	486.67038199999996	Known collection date			
itrdb - ak106	Jacoby - Sukak Pak - PCGL - ITRDB AK106		Jacoby., G.C.;D'Arrigo., R.D.;Buckley., B.M.	Database entry	Sukak Pak	67.35	-149.4667	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	998	-29	Contemporaneous Whole Organism	1.083333016000001	25	-8.824999809	361	-9.908332825	336	0	506.1347023	506.1347023	Known collection date			
itrdb - ak108	Wiles - Kodiak Island - PCSI - ITRDB AK108		Wiles., G.;D'Arrigo., R.D.;Jacoby., G.C.	Database entry	Kodiak Island	57.6167	-152.3167	Contemporaneous Whole Organism: Picea sitchensis (Bong.) Carriére	Implicit	PresenceOnly	Picea sitchensis (Bong.) Carriére [Species]	Plantae	Pinaceae	Picea	Picea sitchensis (Bong.) Carri?re	Living organism	229	-36	Contemporaneous Whole Organism	0.27916669900000013	28	5.558333397	1517	5.279166698	1489	0	1304.033801	1304.033801	Known collection date			
itrdb - ak109	Jacoby - 412/Noatak - PCGL - ITRDB AK109		Jacoby., G.C.;D'Arrigo., R.D.;Buckley., B.M.	Database entry	412/Noatak	67.9167	-162.3	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	426	-40	Contemporaneous Whole Organism	0.6416664119999993	4	-7.804166794	273	-8.445833206	269	0	395.1275356	395.1275356	Known collection date			
itrdb - ak110	Jacoby - Giddings - PCGL - ITRDB AK110		Jacoby., G.C.;D'Arrigo., R.D.;Buckley., B.M.	Database entry	Giddings	67.0833	-157.9167	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	970	-40	Contemporaneous Whole Organism	0.7625002859999999	25	-5.379166603	375	-6.141666889	350	0	566.5598635	566.5598635	Known collection date			
itrdb - ak12	Kaiser - Pony Point Kodiak Island - PCSI - ITRDB AK12		Kaiser., K.	Database entry	Pony Point  Kodiak Island	57.62	-152.28	Contemporaneous Whole Organism: Picea sitchensis (Bong.) Carriére	Implicit	PresenceOnly	Picea sitchensis (Bong.) Carriére [Species]	Plantae	Pinaceae	Picea	Picea sitchensis (Bong.) Carri?re	Living organism	219	-36	Contemporaneous Whole Organism	0.28333330099999987	30	5.591666698	1549	5.308333397	1519	0	1305.148123	1305.148123	Known collection date			
itrdb - ak135	Wolken - Babe Creek Toe Slope - PCMA - ITRDB AK135		Wolken., J.M.;Mann., D.H.;Lloyd., A.H.	Database entry	Babe Creek Toe Slope	64.9997	147.6663	Contemporaneous Whole Organism: Picea mariana (Mill.) Britton, Sterns, & Poggenb.	Implicit	PresenceOnly	Picea mariana (Mill.) Britton, Sterns & Poggenb. [Species]	Plantae	Pinaceae	Picea	Picea mariana (Mill.) Britton, Sterns & Poggenb.	Living organism	55	-60	Contemporaneous Whole Organism	0	0	-13.39583302	221	-13.39583302	221	0	1825.238188	1825.238188	Known collection date			
itrdb - ak14	Kaiser - Isthmus Kodiak Island - PCSI - ITRDB AK14		Kaiser., K.	Database entry	Isthmus  Kodiak Island	57.63	-152.33	Contemporaneous Whole Organism: Picea sitchensis (Bong.) Carriére	Implicit	PresenceOnly	Picea sitchensis (Bong.) Carriére [Species]	Plantae	Pinaceae	Picea	Picea sitchensis (Bong.) Carri?re	Living organism	161	-36	Contemporaneous Whole Organism	0.26666688999999977	11	5.533333302	1481	5.266666412	1470	0	1302.390114	1302.390114	Known collection date			
itrdb - ak17	Kaiser - Fork Twin Creek Kodiak Island - PCSI - ITRDB AK17		Kaiser., K.	Database entry	Fork Twin Creek  Kodiak Island	57.6	-152.32	Contemporaneous Whole Organism: Picea sitchensis (Bong.) Carriére	Implicit	PresenceOnly	Picea sitchensis (Bong.) Carriére [Species]	Plantae	Pinaceae	Picea	Picea sitchensis (Bong.) Carri?re	Living organism	229	-36	Contemporaneous Whole Organism	0.2666668890000006	30	5.308333397	1616	5.041666508	1586	0	1305.3378089999999	1305.3378089999999	Known collection date			
itrdb - cana002	Fritts - Fort Chimo (Merged) - LALA - ITRDB CANA002		Fritts., H.C.	Database entry	Fort Chimo (Merged)	58.37	-68.38	Contemporaneous Whole Organism: Larix laricina (Du Roi) K. Koch	Implicit	PresenceOnly	Larix laricina (Du Roi) K. Koch [Species]	Plantae	Pinaceae	Larix	Larix laricina (Du Roi) K.Koch	Living organism	300	-24	Contemporaneous Whole Organism	1.0458335879999998	14	-4.770833015	497	-5.816666603	483	0	549.8576827999999	549.8576827999999	Known collection date			
itrdb - cana005	Ames - Nain A+b - PCGL - ITRDB CANA005		Ames., M.H.	Database entry	Nain A+b	56.55	-62	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	181	-23	Contemporaneous Whole Organism	0.2208335400000001	22	-3.4375	1009	-3.65833354	987	0	760.7852912	760.7852912	Known collection date			
itrdb - cana008	Dennis - Thelon Game Sanctuary - PCGL - ITRDB CANA008		Dennis., J.	Database entry	Thelon Game Sanctuary	63.83	-104	Contemporaneous Whole Organism: Picea glauca (Moench) Voss	Implicit	PresenceOnly	Picea glauca (Moench) Voss [Species]	Plantae	Pinaceae	Picea	Picea glauca (Moench) Voss	Living organism	376	-19	Contemporaneous Whole Organism	1.0999994319999988	6	-9.483333588	278	-10.58333302	272	0	318.29353779999997	318.29353779999997	Known collection date			
